32,http%3A%2F%2Fproducts.nisshin-oillio.com%2Fnew%2Findex.php,div#center01 ,日清オイリオ,にっしんおいりお,,2014-06-01 21:45:24.154614,2014-06-08 08:02:44
33,http%3A%2F%2Fnews.ajinomoto.co.jp%2Findex.xml,,味の素,あじのもと,,2014-06-01 21:45:24.16346,2014-06-08 17:32:33
34,http%3A%2F%2Fwww.zaikei.co.jp%2Fnews%2Fsubcategory%2F86%2F,div.news_list,財務新聞,ざいむしんぶん,,2014-06-01 21:45:24.171233,2014-06-08 08:01:05
35,http%3A%2F%2Fwww.nissin.com%2Fjp%2Fnews%2F,div.ns-posts-list-article-description ,日清食品,にっしんしょくひん,,2014-06-01 21:45:24.188026,2014-06-08 08:03:06
36,http%3A%2F%2Fwww.nisshin.com%2Fproducts%2Fnew_dry.html,div#primary,日清製粉（常温）,にっしんせいふん（じょうおん）,,2014-06-01 21:45:24.196337,2014-06-08 08:03:29
38,http%3A%2F%2Fwww.myojofoods.co.jp%2Frelease.xml,,明星食品,みょうじょうしょくひん,,2014-06-07 09:54:51.041629,2014-06-08 17:34:01
39,http%3A%2F%2Fwww.itoham.co.jp%2Fcorporate%2Fnews%2F,table.font12px,伊藤ハム,いとうはむ,,2014-06-08 08:09:11.558811,
40,http%3A%2F%2Fwww.marudai.jp%2Findex.html,div.news,丸大食品,まるだいしょくひん,,2014-06-08 08:11:05.063955,
41,http%3A%2F%2Fwww.sagamiham.co.jp%2F,div#news,相模ハム,さがみはむ,,2014-06-08 08:12:34.619605,
42,http%3A%2F%2Fham.glico.jp%2Fham%2F,div#record,グリコハム,ぐりこはむ,,2014-06-08 08:14:54.93644,
43,https%3A%2F%2Fsagamiya-kk.co.jp%2F,div#news_bg ,相模屋,さがみや,,2014-06-08 08:24:52.84725,
44,http%3A%2F%2Fwww.shimadaya.co.jp%2Findex.html,div#newsArea,シマダヤ,しまだや,,2014-06-08 08:28:26.428777,
45,http%3A%2F%2Fwww.marumiya.co.jp%2Fcms%2Fweb%2Fnews%2F1,div#news ,丸美屋,まるみや,,2014-06-08 08:31:35.366668,
46,http%3A%2F%2Fwww.momoya.co.jp%2F,div#top_news ,桃屋,ももや,,2014-06-08 12:06:44.730091,
47,http%3A%2F%2Fwww.ibonoito.or.jp%2Findex.html,div#TabPanel01,揖保乃糸,いぼのいと,,2014-06-08 14:18:41.12487,
48,http%3A%2F%2Fwww.peyoung.co.jp%2Fnews%2F,div.sectionInner ,ペヤング,ぺやんぐ,,2014-06-08 14:21:10.23342,
49,http%3A%2F%2Fwww.campbellsoup.co.jp%2Fourcompany%2Fnews-release.html,div#content ,キャンベル,きゃんべる,,2014-06-08 14:26:24.541376,
50,http%3A%2F%2Fwww.kanro.co.jp%2Fproduct%2F,div#box01 ,カンロ,かんろ,,2014-06-08 14:27:04.654733,2014-06-08 14:28:35
51,http%3A%2F%2Fwww.kanro.co.jp%2Fproduct%2F,div#main ,カンロ,かんろ,,2014-06-08 15:21:05.93149,
52,http%3A%2F%2Fwww.uha-mikakuto.co.jp%2F,div#info_news_data ,味覚糖,みかくとう,,2014-06-08 15:23:24.533399,
53,http%3A%2F%2Fwww.fujiya-peko.co.jp%2Fnews%2Fnews%2Findex.html,div#detail ,不二家,ふじや,,2014-06-08 15:27:31.178228,
54,http%3A%2F%2Fwww.kamedaseika.co.jp%2Ffeed%2Fupdates.xml,,亀田製菓,かめだせいか,,2014-06-08 15:28:24.276923,
55,http%3A%2F%2Fwww.bourbon.co.jp%2Fnews%2F,div.dline ,ブルボン,ぶるぼん,,2014-06-08 15:30:04.192543,
56,http%3A%2F%2Fwww.kelloggs.jp%2Fja_JP%2FPress-list.html,div.main-content,ケロッグ,けろっぐ,,2014-06-08 15:33:35.516804,
57,http%3A%2F%2Fwww.ginbis.co.jp%2Fcompany%2Fnews.html,div.news ,ギンビス,ぎんびす,,2014-06-08 15:35:49.926233,
58,http%3A%2F%2Ftohato.jp%2Fnews%2F,table,東ハト,とうはと,,2014-06-08 15:47:36.444053,
